,,Driver,AUS,CHNS,CHN,JPN,BAH,SAUS,SAU,MIA,CAN,MON,SPA,AUSS,AUS,BRI,BEL,HUN,NETS,NET,ITA,AZE,SIN,USAS,USA,MEX,BRAS,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Main Race,AUS,CHN,JPN,BAH,SAU,MIA,CAN,MON,SPA,AUS,BRI,BEL,HUN,NET,ITA,AZE,SIN,USA,MEX,BRA,LVG,ABU,TOTAL,Average PG,,,,Just Sprint,CHNS,SAUS,AUSS,NETS,USAS,BRAS,TOTAL,Average PG
,BE,Wesley Vandesteene,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,"P5,0",5,,BE,Wesley Vandesteene,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BE,Wesley Vandesteene,,,,,,,0,Waiting...
,GR,George Konstantaras,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P19,0",19,,GR,George Konstantaras,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GR,George Konstantaras,,,,,,,0,Waiting...
,AU,Riley Swansson,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P14,0",14,,AU,Riley Swansson,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Riley Swansson,,,,,,,0,Waiting...
,DE,Sam Fakt,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P18,0",18,,DE,Sam Fakt,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,DE,Sam Fakt,,,,,,,0,Waiting...
,US,Sarah Springfield,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P17,0",17,,US,Sarah Springfield,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,US,Sarah Springfield,,,,,,,0,Waiting...
,AU,Richard Hicks,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P15,0",15,,AU,Richard Hicks,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,AU,Richard Hicks,,,,,,,0,Waiting...
,DE,Robin Keisner,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"P11,0",11,,DE,Robin Keisner,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,DE,Robin Keisner,,,,,,,0,Waiting...
,BG,Julian Kondra,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"P10,0",10,,BG,Julian Kondra,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,BG,Julian Kondra,,,,,,,0,Waiting...
,GR,Michiii Maradöner,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"P9,0",9,,GR,Michiii Maradöner,,,,,,,,,,,,,,,,,,,,,,,0,Waiting...,,,GR,Michiii Maradöner,,,,,,,0,Waiting...
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
